Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1688907905297,-16.8,-4.4,-0.4
1688907905314,-18.1,-5.6000000000000005,-1.9000000000000001
1688907905331,-15.100000000000001,-5.5,1.7000000000000002
1688907905347,-15.100000000000001,-5.5,1.7000000000000002
1688907905365,-14.200000000000001,-7.2,2.5
1688907905380,-13.100000000000001,-7.1000000000000005,0
1688907905397,-10.8,-6.6000000000000005,-1.5
1688907905414,-8.5,-6.5,-2.3000000000000003
1688907905431,-5.6000000000000005,-5.300000000000001,-2.4000000000000004
1688907905447,-2,-3.7,-2.7
1688907905464,2.1,-2,-3.7
1688907905480,2.1,-2,-3.7
1688907905497,9.1,0,-1.3
1688907905514,7.7,-0.4,-1.2000000000000002
1688907905530,9.5,0.4,-2.3000000000000003
1688907905547,11.9,2.3000000000000003,-2.3000000000000003
1688907905565,12.200000000000001,4.3,-1.2000000000000002
1688907905580,12,5,1.3
1688907905597,12.600000000000001,5.4,4.9
1688907905614,12.5,6.1000000000000005,7.800000000000001
1688907905630,12.9,6.800000000000001,9.4
1688907905647,13.600000000000001,7.5,9.9
1688907905666,14.5,7.6000000000000005,9.700000000000001
1688907905680,13.700000000000001,7.1000000000000005,9
1688907905697,11.4,5.7,7
1688907905714,9.4,4,5.4
1688907905730,8,2.8000000000000003,3.5
1688907905747,6.7,0.9,1.9000000000000001
1688907905764,3.4000000000000004,-1.5,0.1
1688907905780,-1.2000000000000002,-4.4,-2.4000000000000004
1688907905798,-2.7,-5,-2.9000000000000004
1688907905814,-4.4,-5.300000000000001,-2.7
1688907905831,-7.4,-5.1000000000000005,-2.8000000000000003
1688907905847,-9.700000000000001,-4.6000000000000005,0.6000000000000001
1688907905864,-13.5,-4.800000000000001,5.9
1688907905880,-18.6,-5.4,9.3
1688907905897,-21.8,-4.6000000000000005,10.8
1688907905914,-20,-3,9.1
1688907905930,-16.2,-0.7000000000000001,7.300000000000001
1688907905947,-12.4,0.7000000000000001,7.9
1688907905964,-9.600000000000001,1.1,8.8
1688907905981,-7.2,0.5,8.4
1688907905997,-5.1000000000000005,-0.7000000000000001,7.4
1688907906014,-2.8000000000000003,-1.8,5.300000000000001
1688907906030,-0.6000000000000001,-2.5,2.7
1688907906047,0.4,-3.4000000000000004,0.8
1688907906064,1.9000000000000001,-4.1000000000000005,-0.7000000000000001
1688907906080,5.9,-3.8000000000000003,-1.1
1688907906097,9.3,-2.2,-0.30000000000000004
1688907906114,11.100000000000001,-1,0.2
1688907906131,12,-1.6,0.2
1688907906147,9.8,-1.8,0.8
1688907906164,10.100000000000001,-2,1.4000000000000001
1688907906181,13.5,1.5,3.4000000000000004
1688907906197,14.600000000000001,2.9000000000000004,4.3
1688907906214,15.3,3.7,5.2
1688907906230,15,4.2,6.4
1688907906247,13.9,3.2,6.6000000000000005
1688907906264,11.4,2.3000000000000003,5.7
1688907906280,9.5,1.4000000000000001,5.1000000000000005
1688907906297,8.1,0.5,4.5
1688907906314,6.7,-0.5,4.2
1688907906331,6,-1,3.1
1688907906347,4.6000000000000005,-2,1.5
1688907906364,2.5,-3.4000000000000004,0
1688907906380,0.1,-4.6000000000000005,-1.2000000000000002
1688907906397,-2.7,-5.4,-1.4000000000000001
1688907906414,-5.9,-5.4,-2.6
1688907906431,-8.9,-5.300000000000001,-1.8
1688907906448,-11.600000000000001,-5.5,2
1688907906464,-14.700000000000001,-6.2,5.1000000000000005
1688907906481,-17.3,-7,6.9
1688907906498,-18.3,-6.7,7.6000000000000005
1688907906514,-16.6,-5.4,8.1
1688907906531,-12.9,-1.7000000000000002,7.7
1688907906548,-12.9,-1.7000000000000002,7.7
1688907906564,-10.3,-0.5,5.9
1688907906581,-7.7,-0.1,5.7
1688907906598,-6.1000000000000005,-0.5,5.5
1688907906614,-4.6000000000000005,-1.3,5.4
1688907906631,-3.1,-1.9000000000000001,5.6000000000000005
1688907906647,0.4,-1.9000000000000001,5.9
1688907906664,3.6,-1.4000000000000001,5.9
1688907906681,5.5,-1.1,4.7
1688907906698,9.1,-0.4,2.7
1688907906714,12.8,0.8,-0.4
1688907906732,12.5,1.6,-3.7
1688907906747,11.3,1,-4.9
1688907906764,11.200000000000001,-0.1,-3
1688907906781,11.3,-0.1,-0.4
1688907906798,12.600000000000001,0.6000000000000001,3
1688907906814,13.8,1.4000000000000001,5
1688907906831,13.100000000000001,1.1,4.6000000000000005
1688907906848,10.700000000000001,0.2,3.1
1688907906865,8.4,-0.7000000000000001,1.3
1688907906881,7.4,-0.6000000000000001,0.1
1688907906897,7.6000000000000005,-0.2,0.1
1688907906914,7.300000000000001,-0.1,-0.2
1688907906931,6.2,-0.8,-0.4
1688907906948,3,-1.1,-0.30000000000000004
1688907906964,1.9000000000000001,-3.5,0.2
1688907906982,0.6000000000000001,-2.4000000000000004,1.3
1688907906998,0,-2.2,2.1
1688907907014,-0.4,-2.5,2.5
1688907907032,-1.4000000000000001,-2.4000000000000004,2.4000000000000004
1688907907048,-2.7,-1.7000000000000002,4.9
1688907907064,-3.5,-1.1,7.1000000000000005
1688907907081,-3.1,-1.1,8
1688907907098,-2.9000000000000004,-0.8,6.9
1688907907114,-2.8000000000000003,0.2,4.4
1688907907131,-2.9000000000000004,1.8,-2.4000000000000004
1688907907151,-4.7,0.2,2.2
1688907907169,-5.2,0.4,5.2
1688907907180,-3.6,-1.3,2.3000000000000003
1688907907197,-5,-1.8,1.4000000000000001
1688907907214,-6.2,-1.1,0.30000000000000004
1688907907232,-5,0,0.8
1688907907247,-2.3000000000000003,0.9,2
1688907907266,-0.4,1.3,2.9000000000000004
1688907907280,0,0.8,2.4000000000000004
1688907907297,-0.5,0.4,0.9
1688907907314,-1.1,0.30000000000000004,0
1688907907331,-1.4000000000000001,0,-0.30000000000000004
