Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1688905935753,-0.8,-1,3.6
1688905935770,0.4,0.4,4.1000000000000005
1688905935786,1.5,1.4000000000000001,4.800000000000001
1688905935803,1.9000000000000001,2.1,5.9
1688905935820,1.9000000000000001,2.8000000000000003,5.9
1688905935836,1.3,4.3,5.4
1688905935853,0.4,5.5,5.4
1688905935870,0,6.2,5.5
1688905935886,0,6.6000000000000005,6
1688905935904,0.2,7.2,7.1000000000000005
1688905935920,-0.2,7.300000000000001,7.7
1688905935937,-1.5,6.800000000000001,8.3
1688905935953,-3.2,6.300000000000001,8.8
1688905935970,-4.7,5.9,9.3
1688905935987,-6.1000000000000005,5.1000000000000005,9.8
1688905936003,-7.9,4.3,11
1688905936020,-9.4,3.5,12.200000000000001
1688905936037,-10.3,1.5,9.1
1688905936053,-8.9,0.9,8.3
1688905936070,-8.5,-0.30000000000000004,7.5
1688905936087,-9.3,-1.3,7.4
1688905936104,-9.5,-2.4000000000000004,7.800000000000001
1688905936120,-8.8,-3.3000000000000003,8.700000000000001
1688905936137,-8.200000000000001,-4.4,9
1688905936154,-8,-5.5,7.9
1688905936170,-8,-6,6
1688905936187,-7.2,-5.9,4.2
1688905936204,-5.4,-5.4,2.7
1688905936220,-4.4,-4.9,2.4000000000000004
1688905936237,-4.3,-5.300000000000001,3.5
1688905936253,-4.3,-6.2,5.300000000000001
1688905936270,-4.1000000000000005,-7,5.800000000000001
1688905936287,-3.5,-7.4,4.800000000000001
1688905936303,-2.9000000000000004,-7.300000000000001,3.3000000000000003
1688905936320,-2.1,-7.1000000000000005,2.2
1688905936337,-1.3,-6.800000000000001,1.7000000000000002
1688905936355,-0.8,-6.5,1.4000000000000001
1688905936371,-0.6000000000000001,-6.2,1.3
1688905936387,-0.2,-5.9,1.5
1688905936404,0.8,-6,1.5
1688905936420,1.4000000000000001,-6.2,0.1
1688905936437,1.2000000000000002,-6.2,-0.1
1688905936454,0.5,-6.7,-0.4
1688905936470,-0.30000000000000004,-7.1000000000000005,-0.30000000000000004
1688905936487,-0.30000000000000004,-7.1000000000000005,0.2
1688905936504,0.1,-7.300000000000001,0.2
1688905936520,0.9,-6.9,0.2
1688905936538,1.9000000000000001,-6.1000000000000005,0.7000000000000001
1688905936554,2.1,-5.4,0.7000000000000001
1688905936570,1.4000000000000001,-4.6000000000000005,1.4000000000000001
1688905936587,1.2000000000000002,-4,2.2
1688905936603,1.7000000000000002,-3.9000000000000004,1.6
1688905936620,2.8000000000000003,-3.7,0.6000000000000001
1688905936636,3.6,-3.2,0
1688905936654,4.3,-3.5,1.1
1688905936671,4.3,-3.3000000000000003,1.3
1688905936687,3.7,-2.8000000000000003,0.30000000000000004
1688905936704,3.8000000000000003,-2.5,-0.1
1688905936720,4.800000000000001,-2.3000000000000003,0.5
1688905936737,4.9,-1.6,1.2000000000000002
1688905936754,4.5,-1.3,1
1688905936771,3.5,-1.6,0.9
1688905936787,3,-2.1,1.2000000000000002
