Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1688906625769,2.4000000000000004,-0.6000000000000001,-1.8
1688906625783,2.8000000000000003,-1,-1.7000000000000002
1688906625799,3.3000000000000003,-0.9,-2.1
1688906625816,3.9000000000000004,-0.6000000000000001,-2.7
1688906625833,4.5,0.1,-3
1688906625850,5.4,0.5,-3
1688906625866,6.300000000000001,0.9,-2.8000000000000003
1688906625883,7.1000000000000005,1.1,-3.1
1688906625900,7.2,1.1,-2.9000000000000004
1688906625917,7,0.7000000000000001,-2.6
1688906625933,6.2,1.3,-1.8
1688906625950,5.800000000000001,2.2,-1
1688906625967,6.5,2.6,-0.1
1688906625983,7.7,3,0.8
1688906626000,8.8,3.2,1
1688906626017,9.5,3.3000000000000003,0
1688906626034,8.8,3.3000000000000003,-1.4000000000000001
1688906626050,6.800000000000001,3.1,-2
1688906626067,5.4,2.4000000000000004,-2.4000000000000004
1688906626084,4.800000000000001,2.1,-2.2
1688906626100,6.1000000000000005,3.2,-1.8
1688906626117,5.4,3.3000000000000003,-1.6
1688906626134,3.9000000000000004,2.8000000000000003,-1.1
1688906626149,2.7,2.4000000000000004,-0.9
1688906626167,1.8,1.9000000000000001,-1.2000000000000002
1688906626185,1.1,1.9000000000000001,-1.4000000000000001
1688906626200,0.4,2.1,-1
1688906626217,-0.1,1.9000000000000001,-0.30000000000000004
1688906626233,-0.6000000000000001,1.8,0
1688906626249,-0.5,2.1,0.6000000000000001
1688906626267,0,2.4000000000000004,0.9
1688906626283,0.2,2.7,1.3
1688906626300,-0.2,3,2.4000000000000004
1688906626317,-1.2000000000000002,2.4000000000000004,4.4
1688906626334,-2.7,1.6,6.1000000000000005
1688906626350,-4.2,1,8.1
1688906626367,-4.800000000000001,1,8.6
1688906626383,-4,1.2000000000000002,6.6000000000000005
1688906626400,-3.8000000000000003,1.4000000000000001,5
1688906626416,-4.7,1,4.7
1688906626433,-5.7,0.1,5.5
1688906626450,-6.4,-0.5,6.6000000000000005
1688906626467,-5.9,-0.4,7.5
1688906626483,-4.5,0,7.4
1688906626500,-4.1000000000000005,-0.2,6.2
1688906626517,-6.4,-1.4000000000000001,3.5
1688906626533,-6.800000000000001,-2.2,3.5
1688906626560,-6,-2.4000000000000004,3.6
1688906626571,-4.6000000000000005,-2,3.9000000000000004
1688906626586,-3.6,-2.1,4.2
1688906626602,-3.6,-2.9000000000000004,4.2
1688906626616,-4.6000000000000005,-3.5,3.8000000000000003
1688906626633,-5.4,-3.8000000000000003,3.1
1688906626650,-4.9,-4,1.9000000000000001
1688906626667,-4,-3.8000000000000003,0.8
1688906626683,-3.1,-3.3000000000000003,0.5
1688906626700,-2.2,-2.9000000000000004,0.9
1688906626717,-1.8,-3.1,1.5
1688906626734,-1.8,-3.3000000000000003,1.2000000000000002
1688906626751,-1.9000000000000001,-3.4000000000000004,0.5
1688906626767,-2.1,-3.6,-0.1
1688906626783,-1.9000000000000001,-3.8000000000000003,-0.30000000000000004
1688906626800,-1.4000000000000001,-3.7,-0.1
1688906626817,-1.1,-3.7,0.1
1688906626833,-0.8,-3.7,-0.1
1688906626850,-0.5,-3.7,-0.6000000000000001
1688906626866,-0.5,-3.6,-0.8
1688906626883,-0.7000000000000001,-3.8000000000000003,-0.9
1688906626900,-0.8,-3.7,0.30000000000000004
1688906626919,-0.6000000000000001,-3.6,0.7000000000000001
1688906626933,-0.2,-3.2,0.30000000000000004
1688906626949,0.2,-2.9000000000000004,-0.30000000000000004
1688906626966,0.4,-2.8000000000000003,-0.5
1688906626982,0.4,-2.8000000000000003,-0.5
1688906627000,0.7000000000000001,-2.5,-0.30000000000000004
1688906627017,1.1,-2,-0.5
1688906627033,1.4000000000000001,-1.3,-0.4
1688906627050,2.4000000000000004,-0.8,-0.4
1688906627068,3.1,-0.1,0.5
1688906627083,3.1,0.5,1.5
1688906627100,3,0.6000000000000001,1.8
1688906627117,2.1,0.4,1.2000000000000002
1688906627136,2.6,0.9,-0.8
1688906627152,1.7000000000000002,1.9000000000000001,-2.7
