Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1688567056845,-4.7,-5.5,5.4
1688567056863,-5.300000000000001,-6.2,7.2
1688567056876,-4.5,-5.7,7.7
1688567056894,-2.8000000000000003,-4.3,1.4000000000000001
1688567056909,-2.4000000000000004,3.4000000000000004,3.3000000000000003
1688567056927,-7.5,-3.3000000000000003,1
1688567056942,-8.200000000000001,-3.4000000000000004,5.1000000000000005
1688567056959,-6.300000000000001,-3.8000000000000003,7
1688567056976,-10.5,-6.2,8.3
1688567056994,-9.200000000000001,-7.2,7.4
1688567057009,-1.1,-5.6000000000000005,3.6
1688567057026,9.600000000000001,-1.6,1.8
1688567057045,14.700000000000001,0.8,10.9
1688567057060,14,2.2,14.100000000000001
1688567057076,16.1,2.1,11.8
1688567057094,22.400000000000002,5.5,9.600000000000001
1688567057109,27.5,8.3,9
1688567057126,18.900000000000002,1.6,10.9
1688567057144,14.8,-1.9000000000000001,7.6000000000000005
1688567057160,13.5,-4.6000000000000005,2.7
1688567057176,12.100000000000001,-6.4,-1.4000000000000001
1688567057192,12.5,-7.4,-4.9
1688567057211,10.200000000000001,-9.9,-9.200000000000001
1688567057226,8.200000000000001,-9,-10.200000000000001
1688567057244,6.9,-10.4,-10.600000000000001
1688567057260,5.9,-10.4,-7.9
1688567057276,4.4,-11.3,-6.6000000000000005
1688567057294,2.3000000000000003,-11.8,-6.1000000000000005
1688567057309,0.9,-12.700000000000001,-7
1688567057327,-0.2,-13.3,-8.5
1688567057346,-0.2,-13.3,-8.8
1688567057359,0.9,-13.5,-9.1
1688567057376,0.9,-14.100000000000001,-9.1
1688567057397,-0.4,-14.5,-8.1
1688567057414,-2.1,-14.8,-5.800000000000001
1688567057426,-2.6,-15.200000000000001,-5.800000000000001
1688567057449,-1.5,-14.8,-6.7
1688567057459,-1.5,-14.8,-6.7
1688567057480,-0.5,-15.200000000000001,-9.4
1688567057493,-0.5,-15.200000000000001,-9.4
1688567057512,-0.6000000000000001,-17.2,-10.100000000000001
1688567057526,-0.6000000000000001,-17.2,-10.100000000000001
