Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1688907012272,0.6000000000000001,2,-3.4000000000000004
1688907012288,-1.2000000000000002,1,-4.9
1688907012305,-2.8000000000000003,0.30000000000000004,-3.9000000000000004
1688907012322,-3.8000000000000003,-1,-5.300000000000001
1688907012338,-4.4,-2.2,-6.7
1688907012355,-5.6000000000000005,-4.2,-5.4
1688907012372,-7.300000000000001,-4.800000000000001,-3.9000000000000004
1688907012388,-6,-5.5,-4.2
1688907012405,-5.2,-6.2,-5.300000000000001
1688907012422,-3.8000000000000003,-6.800000000000001,-6.300000000000001
1688907012438,-2.7,-7.1000000000000005,-6.7
1688907012455,-3,-7.300000000000001,-6.300000000000001
1688907012472,-4,-7.5,-6.5
1688907012488,-4.1000000000000005,-7.800000000000001,-5.7
1688907012505,-3.3000000000000003,-9,-5.1000000000000005
1688907012522,-2.3000000000000003,-9.600000000000001,-3.6
1688907012538,-0.7000000000000001,-10,0.1
1688907012556,0.30000000000000004,-10.8,3.2
1688907012572,2.4000000000000004,-12.100000000000001,4.7
1688907012588,3.4000000000000004,-14.4,3
1688907012605,6.1000000000000005,-17.1,-0.4
1688907012622,10.700000000000001,-18.2,-3.4000000000000004
1688907012640,13,-16.8,-5.800000000000001
1688907012654,13.4,-16.400000000000002,-2.3000000000000003
1688907012672,14.9,-16.5,2.3000000000000003
1688907012689,16.2,-16.3,4.5
1688907012705,18.2,-16.1,4.6000000000000005
1688907012722,24.700000000000003,-14.4,3
1688907012739,31.400000000000002,-10.700000000000001,-1.3
1688907012756,27.900000000000002,-8.3,-3.3000000000000003
1688907012772,18.400000000000002,-10,-1.7000000000000002
1688907012789,19.1,-9,-1.5
1688907012805,18,-9.600000000000001,-1.5
1688907012822,15.700000000000001,-9.4,-2.6
1688907012839,13.100000000000001,-9.5,-4.800000000000001
1688907012856,10.9,-9,-6.6000000000000005
1688907012872,10.100000000000001,-8.5,-5.2
1688907012889,11,-7.6000000000000005,-3.2
1688907012905,11.3,-6.300000000000001,-3.2
1688907012924,9.600000000000001,-6.800000000000001,-3.8000000000000003
1688907012939,7.1000000000000005,-7.4,-5.6000000000000005
1688907012956,5.6000000000000005,-7.1000000000000005,-8.1
1688907012972,4.800000000000001,-8.1,-7.5
1688907012989,5.7,-7.1000000000000005,-4.6000000000000005
1688907013005,6.5,-7.1000000000000005,-1.1
1688907013022,5.9,-7.2,-1.6
1688907013039,4.7,-7.4,-3.5
1688907013055,1.5,-8,-5.6000000000000005
1688907013072,0.7000000000000001,-8.4,-7.5
1688907013089,0.7000000000000001,-7.800000000000001,-7.4
1688907013111,4,-6.4,-0.9
1688907013122,4,-6.4,-0.9
1688907013138,3.9000000000000004,-7.1000000000000005,0.8
1688907013155,3.4000000000000004,-7.5,0.9
1688907013172,2.6,-7.800000000000001,-0.9
1688907013188,2,-8.1,-2.6
1688907013206,1.6,-7.9,-6.1000000000000005
1688907013222,1.4000000000000001,-8.1,-6.300000000000001
1688907013239,0.9,-8.1,-5.5
1688907013255,0.7000000000000001,-7.9,-4.2
1688907013272,-0.5,-9.200000000000001,-4.4
1688907013289,-1,-8.3,-3.9000000000000004
1688907013305,0.5,-8.3,-3.5
1688907013322,0.8,-8.5,-3.6
1688907013338,0.8,-8.8,-3.9000000000000004
1688907013355,0.5,-9.200000000000001,-4.800000000000001
1688907013373,-0.1,-9.600000000000001,-5.300000000000001
1688907013389,0,-9.5,-5.300000000000001
1688907013405,0.5,-9.8,-5.5
1688907013422,1.6,-9.9,-5.300000000000001
1688907013438,2.3000000000000003,-10.5,-5.300000000000001
1688907013455,1.5,-11.9,-5.4
1688907013472,0,-12.5,-5.6000000000000005
1688907013489,-0.6000000000000001,-12.600000000000001,-5.800000000000001
1688907013506,0.2,-13.4,-5.6000000000000005
1688907013522,2.3000000000000003,-13,-5.4
1688907013539,4.1000000000000005,-12.4,-6.6000000000000005
1688907013556,4.1000000000000005,-13.5,-9.8
1688907013572,3.5,-15.5,-10.700000000000001
1688907013589,3.2,-21.1,-5.800000000000001
1688907013605,3.2,-21.1,-5.800000000000001
1688907013622,12.3,-22.200000000000003,1.1
1688907013639,17.1,-19.3,10.600000000000001
1688907013656,18.8,-13.9,20.200000000000003
1688907013672,15.100000000000001,-12.100000000000001,18
1688907013689,12.9,-10.9,12.3
1688907013705,12.200000000000001,-9.5,12.200000000000001
1688907013722,10.600000000000001,-8.700000000000001,15.200000000000001
1688907013738,9,-6.5,16.5
1688907013755,7.2,-4.7,15.9
1688907013772,6,-3,13.5
1688907013789,6.2,-1.7000000000000002,11.5
1688907013805,7,-0.4,9.9
1688907013822,6.1000000000000005,-0.8,10.100000000000001
1688907013838,3.4000000000000004,-1.7000000000000002,12
1688907013855,1.5,-2,11.600000000000001
1688907013872,-0.5,-2.5,10.8
1688907013889,0.6000000000000001,-1.4000000000000001,8.200000000000001
1688907013906,0.1,-1.5,7.1000000000000005
1688907013922,-0.4,-2.1,6.800000000000001
1688907013938,-2.2,-3.6,5.5
1688907013955,-2.2,-3.6,5.5
1688907013972,-2.3000000000000003,-4.2,2.4000000000000004
1688907013989,-0.5,-3.8000000000000003,1.6
1688907014005,-0.4,-3.5,0.7000000000000001
1688907014022,-1,-3.5,-0.1
1688907014039,-0.1,-2.7,-1.1
1688907014056,-0.4,-2.2,-1.3
1688907014072,-0.9,-2.1,-1.8
1688907014089,-1.1,-2,-2.5
1688907014105,0.6000000000000001,-2.1,-2.4000000000000004
1688907014122,0.5,-1.6,-3.8000000000000003
1688907014139,-1.1,-0.4,-5
1688907014156,-1.9000000000000001,0,-3.9000000000000004
1688907014172,-1.5,-0.5,-2.6
1688907014189,0,-1,-2.8000000000000003
1688907014205,0.2,-1,-2.4000000000000004
1688907014222,0.2,-0.9,-1.2000000000000002
1688907014239,0.30000000000000004,-0.7000000000000001,-0.4
1688907014255,0.9,-0.7000000000000001,-0.9
1688907014272,1.1,-1.4000000000000001,-0.6000000000000001
1688907014289,0.5,-2,-1.7000000000000002
1688907014312,-3,-0.5,-6.9
1688907014322,-3,-0.5,-6.9
1688907014338,-1.1,-0.4,-1.9000000000000001
1688907014355,1.6,-1.3,-2.2
1688907014374,0.9,-0.7000000000000001,-1.8
1688907014388,0.9,-0.7000000000000001,-1.8
1688907014407,0.30000000000000004,-0.4,-0.2
1688907014421,0.8,-0.9,0.7000000000000001
1688907014438,0.8,-0.1,1.4000000000000001
1688907014455,-0.1,1.7000000000000002,-0.5
1688907014471,-0.30000000000000004,1.4000000000000001,-3.3000000000000003
1688907014488,0.30000000000000004,0.4,-4.2
1688907014505,0.4,0.2,-3.5
1688907014521,0.4,0.1,-2.7
1688907014538,0.6000000000000001,-0.2,-1.5
1688907014555,0.5,-0.30000000000000004,-0.7000000000000001
1688907014571,0.9,0.1,-0.4
1688907014588,1.2000000000000002,0.30000000000000004,-0.7000000000000001
BREAK
Orientation Data 
Time [ms], x [°], y [°], z [°] 
1688907012104,0.4,11.8,-0.4
1688907012121,0.4,11.600000000000001,-0.4
1688907012138,0.9,11.3,-0.4
1688907012155,1.4000000000000001,11.100000000000001,-0.4
1688907012171,1.8,10.8,-0.4
1688907012188,2.2,10.5,-0.30000000000000004
