Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1689078229019,0.2,-0.9,7.2
1689078229036,1.4000000000000001,-2.5,4.6000000000000005
1689078229052,-0.30000000000000004,-5.4,5
1689078229068,-2.3000000000000003,-7.7,4.800000000000001
1689078229085,-1.7000000000000002,-8.9,5.5
1689078229102,-1.1,-12,5
1689078229118,-2.5,-14.100000000000001,4.5
1689078229135,0.1,-14.100000000000001,2.3000000000000003
1689078229153,3,-15.3,-3.9000000000000004
1689078229171,0.7000000000000001,-15.4,-2.8000000000000003
1689078229184,0.7000000000000001,-15.4,-2.8000000000000003
1689078229201,8.9,-13.700000000000001,-4.2
1689078229218,11.100000000000001,-10.8,-4.800000000000001
1689078229237,11,-10.8,-4.1000000000000005
1689078229250,8.5,-10.8,-3.4000000000000004
1689078229268,7.9,-12.3,-2.2
1689078229286,7.9,-10.8,0.30000000000000004
1689078229301,10.3,-9.5,1.1
1689078229318,11.200000000000001,-7.800000000000001,1.5
1689078229334,12.3,-7,3.1
1689078229351,14.100000000000001,-7.5,5.9
1689078229368,14,-8,7.5
1689078229385,13.4,-7.800000000000001,7.5
1689078229401,15.9,-6.2,9
1689078229419,17.7,-5.300000000000001,9.9
1689078229434,17.400000000000002,-5.1000000000000005,10.8
1689078229451,17.900000000000002,-5.4,13.3
1689078229468,18.5,-5.4,18.5
1689078229484,20,-3.4000000000000004,22
1689078229501,22,-0.5,23.3
1689078229520,26.1,5.9,16.7
1689078229534,26.1,5.9,16.7
1689078229551,23.8,6.6000000000000005,14.200000000000001
1689078229568,7.2,3.1,21.6
1689078229585,1.9000000000000001,2.3000000000000003,25.3
1689078229601,-0.8,3.9000000000000004,25.1
1689078229618,-2.3000000000000003,4.4,23.3
1689078229634,-6,3.4000000000000004,21
1689078229651,-7.4,1.2000000000000002,20.8
1689078229668,-9.1,-0.7000000000000001,21.5
1689078229684,-10.100000000000001,-3.6,21.200000000000003
1689078229701,-11.5,-6.2,18.7
1689078229718,-12.3,-7.6000000000000005,16.2
1689078229734,-10.5,-8.4,13.600000000000001
1689078229751,-9.9,-8.8,11.100000000000001
1689078229768,-10.9,-9.8,9.5
1689078229784,-12.100000000000001,-10.5,7.9
1689078229801,-12.100000000000001,-10.9,7.300000000000001
1689078229817,-11,-10.200000000000001,4.9
1689078229834,-9.9,-9.700000000000001,2.8000000000000003
1689078229851,-7,-8.200000000000001,1.6
1689078229868,-6.800000000000001,-8.200000000000001,1
1689078229884,-7,-8.3,0
1689078229901,-6.800000000000001,-8.3,-0.6000000000000001
1689078229919,-10.200000000000001,-10.700000000000001,-0.2
1689078229934,-10.200000000000001,-10.700000000000001,-0.2
1689078229951,-7.5,-9.5,1.1
1689078229968,-3.4000000000000004,-7.800000000000001,1.3
1689078229984,-3.8000000000000003,-7.1000000000000005,-0.7000000000000001
1689078230003,-1.8,-7.6000000000000005,-0.7000000000000001
1689078230018,-2.5,-6.4,-1.1
1689078230034,-3.3000000000000003,-7.7,2.4000000000000004
1689078230051,-4,-8.3,5.4
1689078230067,-3.5,-8,3.6
1689078230085,0,-6.6000000000000005,1.5
1689078230101,1.8,-4.6000000000000005,-1.1
1689078230118,1.1,-2.4000000000000004,-2.4000000000000004
1689078230134,1.1,-2,-2.2
1689078230152,2.4000000000000004,-3.3000000000000003,0
1689078230168,2.1,-5.2,1
1689078230186,1.5,-5.2,1.1
1689078230201,1.5,-1.9000000000000001,1.7000000000000002
1689078230220,1,0.30000000000000004,1.8
1689078230234,2.2,0.1,2.2
1689078230251,3.5,0,3.4000000000000004
1689078230268,3.6,0.4,2.5
1689078230285,1.6,0.30000000000000004,1
1689078230302,-1.6,1.1,-1.1
1689078230321,2.2,0.8,2.5
1689078230337,3.7,1.2000000000000002,5
1689078230353,2.5,-0.6000000000000001,1.8
1689078230367,2.5,-0.6000000000000001,1.8
1689078230384,-1.1,0,-2.9000000000000004
1689078230403,0.2,1.3,-2.6
1689078230418,1.4000000000000001,1.3,-1.8
1689078230434,3,0.1,0.8
1689078230451,2.7,-0.4,3
1689078230468,1.2000000000000002,0.30000000000000004,2
1689078230484,0.8,0.7000000000000001,-0.1
1689078230501,0.4,0.5,-1.9000000000000001
1689078230518,0.1,0,-3
1689078230534,-0.2,-0.6000000000000001,-3
1689078230550,-0.6000000000000001,-0.5,-2.9000000000000004
1689078230567,-0.8,-0.4,-2.2
