Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1687631580103,2.3000000000000003,2.5,0.4
1687631580122,3.3000000000000003,2.2,0.7000000000000001
1687631580138,3.5,2.6,0.4
1687631580153,2.1,3.3000000000000003,-0.5
1687631580170,1.4000000000000001,3.3000000000000003,-0.9
1687631580188,1.2000000000000002,3.6,0.1
1687631580205,1.8,4,2.4000000000000004
1687631580220,1.9000000000000001,4.1000000000000005,3.9000000000000004
1687631580239,0.8,4,3.9000000000000004
1687631580253,-1.4000000000000001,3.2,3.6
1687631580272,-1.9000000000000001,3.5,5.300000000000001
1687631580287,0.4,4.4,4
1687631580305,0.7000000000000001,4.5,4.3
1687631580320,-0.1,3.2,5
1687631580339,-1,1.7000000000000002,5.9
1687631580353,-2.8000000000000003,-0.4,7
1687631580372,-5.5,-2.3000000000000003,5
1687631580386,-2.3000000000000003,-0.4,1.8
1687631580406,0.4,0.30000000000000004,1.9000000000000001
1687631580420,-0.7000000000000001,-1.7000000000000002,2.6
1687631580440,-3.3000000000000003,-3.5,4.7
1687631580453,-4,-3.3000000000000003,5.5
1687631580472,-4.4,-3.3000000000000003,4.1000000000000005
1687631580487,-2.8000000000000003,-3,2.4000000000000004
1687631580503,-0.2,-2.6,0.6000000000000001
1687631580522,0.1,-3.9000000000000004,-1.3
1687631580539,-1.8,-5.300000000000001,-2.3000000000000003
1687631580553,-3.8000000000000003,-6.1000000000000005,-1.6
1687631580572,-4.2,-7.6000000000000005,-0.1
1687631580586,-5.5,-8.9,1.1
1687631580605,-5.1000000000000005,-9.5,0.2
1687631580620,-3.7,-9.200000000000001,-1.9000000000000001
1687631580639,-2.5,-9.5,-1.3
1687631580653,-2.5,-8.8,-0.8
1687631580672,-3.2,-9.5,0.30000000000000004
1687631580687,-2.8000000000000003,-9.600000000000001,-0.1
1687631580705,-2.5,-10.200000000000001,-0.2
1687631580721,-2.1,-10.8,-0.7000000000000001
1687631580738,-2.9000000000000004,-11.600000000000001,-1.1
1687631580753,-2.6,-11.9,-1
1687631580772,-2.7,-13.200000000000001,-0.8
1687631580786,-3.6,-13.700000000000001,-1.8
1687631580805,-2.7,-13.8,-1.3
1687631580820,-2.1,-13.600000000000001,-0.1
1687631580839,-1.7000000000000002,-13.5,0.30000000000000004
1687631580853,-1.5,-14.100000000000001,0.7000000000000001
1687631580872,-0.8,-14.600000000000001,1.4000000000000001
1687631580887,0.1,-15.5,3.7
1687631580905,1,-16.3,6.9
1687631580920,3.8000000000000003,-15.200000000000001,8.9
1687631580938,6.800000000000001,-13.4,9.1
1687631580953,6.5,-13.9,7.7
1687631580972,4.4,-14.8,6.800000000000001
1687631580986,4.5,-15.200000000000001,10.4
1687631581005,8.3,-15.200000000000001,15.100000000000001
1687631581020,11.5,-13,14.8
1687631581039,11.8,-11.5,13.5
1687631581053,10,-11.4,14.700000000000001
1687631581072,14.100000000000001,-10.3,17.6
1687631581086,21.1,-7.5,14
1687631581105,24,-4.4,8.5
1687631581120,23.700000000000003,-3.4000000000000004,6
1687631581139,22,-2.4000000000000004,7.6000000000000005
1687631581153,19.700000000000003,-2.8000000000000003,8.5
1687631581172,19.3,-2.1,1.7000000000000002
1687631581187,15.3,-3.2,-1.2000000000000002
1687631581205,11.600000000000001,-5.1000000000000005,-2.1
1687631581220,10.100000000000001,-5.5,-0.1
1687631581239,11.5,-5.6000000000000005,2
1687631581253,16.3,-4.6000000000000005,1.8
1687631581272,18.1,-3.9000000000000004,-1.8
1687631581288,16.400000000000002,-4.6000000000000005,-5.1000000000000005
1687631581303,14,-4.5,-8
1687631581323,12.700000000000001,-3.5,-8.700000000000001
1687631581336,12.5,-3.2,-6.5
1687631581355,12.600000000000001,-3.2,-3.4000000000000004
1687631581373,11.9,-3.8000000000000003,-2.4000000000000004
1687631581389,9.8,-4.7,-1.9000000000000001
1687631581404,8.9,-5.2,-1.4000000000000001
1687631581424,7.7,-5.9,-0.1
1687631581437,7.300000000000001,-5.6000000000000005,0
1687631581459,5.9,-5.1000000000000005,0.1
1687631581470,4.800000000000001,-6.1000000000000005,-0.30000000000000004
1687631581487,4.1000000000000005,-6.5,0.2
1687631581508,2.7,-6.7,1.1
1687631581520,2.7,-6.7,1.1
1687631581542,2.3000000000000003,-6.7,1.9000000000000001
1687631581554,2.3000000000000003,-6.7,1.9000000000000001
1687631581574,0.6000000000000001,-8.4,3.1
1687631581587,0.1,-8.3,3.4000000000000004
1687631581608,0.4,-8.3,3
1687631581620,0.6000000000000001,-8.5,2.4000000000000004
1687631581642,-0.1,-9.5,1.8
1687631581654,-0.8,-10.4,2.1
1687631581675,-0.9,-10.9,3.1
1687631581690,-0.6000000000000001,-11,2.4000000000000004
1687631581704,-0.9,-10.5,1.4000000000000001
1687631581720,-1.4000000000000001,-10.4,0
1687631581742,-1.9000000000000001,-10.5,-1.3
1687631581754,-2.9000000000000004,-10.600000000000001,-3.2
1687631581776,-0.8,-10.5,-4
1687631581787,1.4000000000000001,-10,-3.3000000000000003
1687631581808,2,-9.600000000000001,-2.2
1687631581820,1.2000000000000002,-10,-1.6
1687631581841,1.2000000000000002,-10,-1.7000000000000002
1687631581857,1.4000000000000001,-10,-1.8
1687631581870,1.4000000000000001,-10.3,-2.5
1687631581887,1.9000000000000001,-10.4,-3.6
1687631581909,2.5,-11.5,-4
1687631581920,2.5,-11.5,-4
1687631581941,2.9000000000000004,-13.3,-2.5
1687631581957,3.8000000000000003,-14.200000000000001,-1.4000000000000001
1687631581970,3.8000000000000003,-14.200000000000001,-1.4000000000000001
1687631581994,4.6000000000000005,-15,1.4000000000000001
1687631582004,5.6000000000000005,-15.100000000000001,2
1687631582020,5.4,-15.4,0.5
1687631582041,5.5,-15.4,0.1
1687631582053,5.6000000000000005,-15.5,3.3000000000000003
1687631582074,7.9,-15.600000000000001,8.700000000000001
1687631582091,9.700000000000001,-15.100000000000001,13
1687631582104,11,-13.700000000000001,14
1687631582123,9.600000000000001,-11.100000000000001,10.9
1687631582137,9.700000000000001,-9.4,8.700000000000001
1687631582157,9.700000000000001,-9.1,10.200000000000001
1687631582170,11.8,-7.4,14.100000000000001
1687631582191,12.600000000000001,-5.7,17
1687631582204,13.3,-3,16.5
1687631582225,12.3,-1.3,14.100000000000001
1687631582237,12,0.2,13.200000000000001
1687631582258,11,1.4000000000000001,14.200000000000001
1687631582270,10.5,2.5,15.700000000000001
1687631582289,9.8,3.3000000000000003,15.4
1687631582303,7.2,4.1000000000000005,14.600000000000001
