Acceleration Data 
Time [ms], x [m/s²], y [m/s²], z [m/s²] 
1687631518220,1,2,-0.1
1687631518237,1.7000000000000002,2.7,2.4000000000000004
1687631518254,-1.1,-0.6000000000000001,2.6
1687631518270,-1.4000000000000001,-1.1,0.30000000000000004
1687631518287,1.1,2.1,-0.9
1687631518303,3.3000000000000003,2.8000000000000003,-2
1687631518320,4.2,3.4000000000000004,-2.2
1687631518337,3.2,2.3000000000000003,0.7000000000000001
1687631518353,1.3,-0.4,0.4
1687631518370,-2.4000000000000004,0,0.6000000000000001
1687631518387,-1,0.2,-1.4000000000000001
1687631518403,-1,0.2,-1.4000000000000001
1687631518420,0.9,1.1,0.30000000000000004
1687631518437,1.6,0.8,-1.3
1687631518453,1.6,0.4,-0.9
1687631518470,1.3,-0.30000000000000004,-1.4000000000000001
1687631518487,-3.4000000000000004,-0.30000000000000004,-2.4000000000000004
1687631518503,0.7000000000000001,0.9,-4.6000000000000005
1687631518520,5.800000000000001,1.6,-3.2
1687631518537,4.9,1.2000000000000002,-2
1687631518553,3.7,0.6000000000000001,-1.1
1687631518570,3.1,0.8,-1.1
1687631518587,1.3,0.2,-1.4000000000000001
1687631518603,2,1.3,1.1
1687631518620,4.2,2.4000000000000004,2.8000000000000003
1687631518637,3.6,2.7,3.2
1687631518653,2.3000000000000003,2.4000000000000004,1.8
1687631518670,0.7000000000000001,2.3000000000000003,0.30000000000000004
1687631518687,0.1,2.1,1
1687631518703,-1.7000000000000002,2.3000000000000003,2.2
1687631518720,-3.3000000000000003,2.1,3.8000000000000003
1687631518737,-2.6,1.4000000000000001,5.300000000000001
1687631518753,-2,1.8,3.8000000000000003
1687631518770,-0.9,2.5,1
1687631518787,-1.8,2.4000000000000004,1.3
1687631518803,-1.9000000000000001,2.4000000000000004,2.1
1687631518820,-2.8000000000000003,2.4000000000000004,2.5
1687631518837,-2.9000000000000004,3.2,1
1687631518853,-3.1,3.4000000000000004,0.8
1687631518870,-2,3.6,1.8
1687631518888,-1.6,3.4000000000000004,3.2
